Institution,Cell ID,Form Factor,Cathode,Temperature (°C),Min SOC (%),Max SOC (%),Charge Rate (C),Discharge Rate (C),Group
Calce,CX2-16,Prismatic,LCO,25,0,100,0.5,0.5,a
Calce,CX2-25,Prismatic,LCO,25,0,100,0.5,0.5,b
Calce,CX2-33,Prismatic,LCO,25,0,100,0.5,0.5,d
Calce,CX2-34,Prismatic,LCO,25,0,100,0.5,0.5,e
Calce,CX2-36,Prismatic,LCO,25,0,100,0.5,0.5,f
Calce,CX2-37,Prismatic,LCO,25,0,100,0.5,0.5,g
Calce,CX2-38,Prismatic,LCO,25,0,100,0.5,0.5,h
HNEI,-,18650,NMC-LCO,25,0,100,0.5,1.5,a
HNEI,-,18650,NMC-LCO,25,0,100,0.5,1.5,b
HNEI,-,18650,NMC-LCO,25,0,100,0.5,1.5,c
HNEI,-,18650,NMC-LCO,25,0,100,0.5,1.5,d
HNEI,-,18650,NMC-LCO,25,0,100,0.5,1.5,e
HNEI,-,18650,NMC-LCO,25,0,100,0.5,1.5,f
HNEI,-,18650,NMC-LCO,25,0,100,0.5,1.5,g
HNEI,-,18650,NMC-LCO,25,0,100,0.5,1.5,j
HNEI,-,18650,NMC-LCO,25,0,100,0.5,1.5,l
HNEI,-,18650,NMC-LCO,25,0,100,0.5,1.5,m
HNEI,-,18650,NMC-LCO,25,0,100,0.5,1.5,n
HNEI,-,18650,NMC-LCO,25,0,100,0.5,1.5,o
HNEI,-,18650,NMC-LCO,25,0,100,0.5,1.5,p
HNEI,-,18650,NMC-LCO,25,0,100,0.5,1.5,s
HNEI,-,18650,NMC-LCO,25,0,100,0.5,1.5,t
Michigan Expansion,01R,Pouch,NMC,25,0,100,0.2,0.2,-
Michigan Expansion,02C,Pouch,NMC,-5,0,100,0.2,0.2,-
Michigan Expansion,03H,Pouch,NMC,45,0,100,0.2,0.2,-
Michigan Expansion,04R,Pouch,NMC,25,0,100,1.5,1.5,-
Michigan Expansion,05C,Pouch,NMC,-5,0,100,1.5,1.5,-
Michigan Expansion,06H,Pouch,NMC,45,0,100,1.5,1.5,-
Michigan Expansion,07R,Pouch,NMC,25,0,100,2,2,-
Michigan Expansion,08C,Pouch,NMC,-5,0,100,2,2,-
Michigan Expansion,09H,Pouch,NMC,45,0,100,2,2,-
Michigan Expansion,10R,Pouch,NMC,25,0,100,0.2,1.5,-
Michigan Expansion,11C,Pouch,NMC,-5,0,100,0.2,1.5,-
Michigan Expansion,12H,Pouch,NMC,45,0,100,0.2,1.5,-
Michigan Expansion,13R,Pouch,NMC,25,50,100,0.2,0.2,-
Michigan Expansion,14C,Pouch,NMC,-5,50,100,0.2,0.2,-
Michigan Expansion,15H,Pouch,NMC,45,50,100,0.2,0.2,-
Michigan Expansion,16R,Pouch,NMC,25,50,100,0.2,1.5,-
Michigan Expansion,17C,Pouch,NMC,-5,50,100,0.2,1.5,-
Michigan Expansion,18H,Pouch,NMC,45,50,100,0.2,1.5,-
Michigan Expansion,BLForm10,Pouch,NMC,25,0,100,1,1,j
Michigan Expansion,BLForm11,Pouch,NMC,25,0,100,1,1,a
Michigan Expansion,BLForm12,Pouch,NMC,25,0,100,1,1,b
