SimulationID,MTTA
1,381.569652
2,480.403317
3,480.705865
4,459.295669
5,727.579749
6,372.318147
7,602.172043
8,638.541738
9,489.149188
10,779.394946
11,626.700609
12,663.517030
13,298.275208
14,390.751377
15,552.467150
16,554.267973
17,803.193373
18,631.760223
19,606.928525
20,327.920957
21,400.617863
22,466.120131
23,601.854904
24,437.488556
25,805.905841
26,419.109947
27,602.731268
28,627.177344
29,277.056225
30,388.873041
31,677.883772
32,489.201315
33,534.536134
34,566.320975
35,582.086974
36,440.089939
37,411.708458
38,313.164328
39,390.561382
40,689.380792
41,488.830219
42,722.100259
43,379.809534
44,639.315586
45,650.207889
46,442.492123
47,558.340960
48,421.433231
49,478.750647
50,148.572807
51,286.006553
52,650.988698
53,350.580760
54,302.700129
55,440.392611
56,346.029843
57,420.943738
58,870.408047
59,654.030045
60,502.988703
61,382.590493
62,309.773642
63,401.574028
64,564.664798
65,424.511107
66,639.401281
67,637.290687
68,697.607136
69,668.213001
70,456.189369
71,540.513931
72,442.656637
73,535.383003
74,698.688440
75,579.014024
76,404.378760
77,514.081317
78,522.721824
79,479.113401
80,434.200470
81,239.915974
82,453.505218
83,536.561551
84,417.768049
85,229.781553
86,483.454133
87,259.164419
88,499.800306
89,610.655775
90,431.286735
91,440.516097
92,261.942644
93,500.352914
94,274.489380
95,831.002907
96,372.913578
97,770.424749
98,451.082325
99,374.912783
100,419.929683
101,433.363486
102,268.330527
103,687.800740
104,646.842342
105,386.567105
106,570.858654
107,287.524414
108,612.889960
109,369.527421
110,296.909910
111,355.962382
112,417.756646
113,494.502087
114,472.673524
115,407.234875
116,478.212747
117,608.103592
118,339.577350
119,449.170214
120,429.833100
121,507.434458
122,505.005801
123,399.682230
124,756.072707
125,634.701235
126,474.669353
127,440.772351
128,257.961509
129,363.302034
130,759.483738
131,513.383837
132,360.075271
133,594.334862
134,350.808595
135,399.728838
136,516.038073
137,327.646891
138,343.477354
139,266.276281
140,553.657666
141,163.363013
142,428.498770
143,425.167241
144,267.900869
145,558.713507
146,282.253681
147,580.689686
148,560.364569
149,826.072849
150,411.929172
151,391.747806
152,324.715898
153,462.217838
154,702.468914
155,448.110208
156,677.558179
157,548.467809
158,573.905265
159,432.290591
160,188.647440
161,761.329100
162,423.676215
163,383.202960
164,335.240212
165,388.212252
166,600.741530
167,831.919222
168,250.034091
169,389.259615
170,401.377776
171,600.217348
172,441.161022
173,768.198830
174,652.228142
175,480.256077
176,634.366059
177,962.476949
178,268.562396
179,507.994253
180,480.259859
