,Institution,Charge Current (A),Discharge Current (A),Charge Weighted Average (A),Discharge Weighted Average (A),Charge Abs Difference,Discharge Abs Difference,Discharge Percentage Difference,Charge Percentage Difference,Full Filename
0,Oxford,1.48,1.36,0.0030560379775497,0.7400000000000002,1.4769439620224503,0.6199999999999999,45.58823529411764,99.79351094746286,0.74_OX_1-1_pouch_LCO_40C_0-100_2-1.84C_a_timeseries.csv
1,Oxford,1.48,1.36,0.002982923800422,0.7400000000000001,1.477017076199578,0.62,45.588235294117645,99.79845109456609,0.74_OX_1-2_pouch_LCO_40C_0-100_2-1.84C_b_timeseries.csv
2,Oxford,1.48,1.36,0.0030372485660812,0.7400000000000001,1.4769627514339188,0.62,45.588235294117645,99.79478050229181,0.74_OX_1-3_pouch_LCO_40C_0-100_2-1.84C_c_timeseries.csv
3,Oxford,1.48,1.36,0.0030655646393752,0.7400000000000001,1.4769344353606249,0.62,45.588235294117645,99.79286725409628,0.74_OX_1-4_pouch_LCO_40C_0-100_2-1.84C_d_timeseries.csv
4,Oxford,1.48,1.36,0.0031049424458526,0.74,1.4768950575541473,0.6200000000000001,45.58823529411765,99.79020659149644,0.74_OX_1-5_pouch_LCO_40C_0-100_2-1.84C_e_timeseries.csv
5,Oxford,1.48,1.36,0.0030994070919065,0.74,1.4769005929080934,0.6200000000000001,45.58823529411765,99.7905806018982,0.74_OX_1-6_pouch_LCO_40C_0-100_2-1.84C_f_timeseries.csv
6,Oxford,1.48,1.36,0.0031265895422505,0.7400000000000001,1.4768734104577494,0.62,45.588235294117645,99.78874394984794,0.74_OX_1-7_pouch_LCO_40C_0-100_2-1.84C_g_timeseries.csv
7,Oxford,1.48,1.36,0.0030181889922251,0.7400000000000002,1.4769818110077748,0.6199999999999999,45.58823529411764,99.79606831133614,0.74_OX_1-8_pouch_LCO_40C_0-100_2-1.84C_h_timeseries.csv
8,SNL,0.55,1.1,0.4761452406795057,1.0868673617571287,0.07385475932049435,0.013132638242871364,1.1938762038973967,13.4281380582717,1.10_SNL_18650_LFP_15C_0-100_0.5-1C_a_timeseries.csv
9,SNL,0.55,1.1,0.3112243007711995,1.0849032655367603,0.23877569922880054,0.01509673446323978,1.3724304057490708,43.41376349614555,1.10_SNL_18650_LFP_15C_0-100_0.5-1C_b_timeseries.csv
10,SNL,0.55,2.2,0.4755917702328344,2.1175754404005103,0.07440822976716566,0.08242455959948991,3.7465708908859043,13.528769048575572,1.10_SNL_18650_LFP_15C_0-100_0.5-2C_a_timeseries.csv
11,SNL,0.55,2.2,0.475443132323326,2.117721543542098,0.07455686767667402,0.08227845645790222,3.7399298389955553,13.555794123031639,1.10_SNL_18650_LFP_15C_0-100_0.5-2C_b_timeseries.csv
12,SNL,0.55,0.55,0.4750839191958658,0.5506278145298176,0.07491608080413426,0.0006278145298175275,0.11414809633045954,13.621105600751681,1.10_SNL_18650_LFP_25C_0-100_0.5-0.5C_a_timeseries.csv
13,SNL,0.55,1.1,0.3105572274909826,1.0849016114444363,0.23944277250901747,0.01509838855556378,1.3725807777785253,43.535049547094076,1.10_SNL_18650_LFP_25C_0-100_0.5-1C_a_timeseries.csv
14,SNL,0.55,1.1,0.3129133835931924,1.084992066503846,0.23708661640680767,0.015007933496154147,1.3643575905594678,43.10665752851048,1.10_SNL_18650_LFP_25C_0-100_0.5-1C_b_timeseries.csv
15,SNL,0.55,1.1,0.4829101560046599,1.0860776677552717,0.06708984399534013,0.013922332244728386,1.2656665677025805,12.198153453698204,1.10_SNL_18650_LFP_25C_0-100_0.5-1C_c_timeseries.csv
16,SNL,0.55,1.1,0.4825822032786876,1.0850956864547792,0.06741779672131243,0.014904313545220926,1.3549375950200842,12.257781222056805,1.10_SNL_18650_LFP_25C_0-100_0.5-1C_d_timeseries.csv
17,SNL,0.55,2.2,0.483863209776336,2.1176831555038302,0.06613679022366403,0.08231684449616994,3.741674749825906,12.024870949757096,1.10_SNL_18650_LFP_25C_0-100_0.5-2C_a_timeseries.csv
18,SNL,0.55,2.2,0.4832081963670185,2.1196792405505547,0.06679180363298154,0.0803207594494455,3.6509436113384317,12.143964296905734,1.10_SNL_18650_LFP_25C_0-100_0.5-2C_b_timeseries.csv
19,SNL,0.55,3.3,0.4804240956914936,3.078587895391848,0.06957590430850646,0.22141210460815186,6.709457715398541,12.650164419728446,1.10_SNL_18650_LFP_25C_0-100_0.5-3C_a_timeseries.csv
20,SNL,0.55,3.3,0.4796483645656341,3.0729263692430644,0.07035163543436596,0.22707363075693543,6.881019113846529,12.79120644261199,1.10_SNL_18650_LFP_25C_0-100_0.5-3C_b_timeseries.csv
21,SNL,0.55,3.3,0.4783859534349665,3.0664141308131634,0.07161404656503356,0.23358586918683644,7.078359672328377,13.020735739097011,1.10_SNL_18650_LFP_25C_0-100_0.5-3C_c_timeseries.csv
22,SNL,0.55,3.3,0.4826260110162127,3.0727745531358863,0.06737398898378733,0.2272254468641135,6.885619601942834,12.249816178870422,1.10_SNL_18650_LFP_25C_0-100_0.5-3C_d_timeseries.csv
23,SNL,0.55,0.55,0.3017992925735876,0.5505278872634726,0.24820070742641243,0.0005278872634725262,0.09597950244955021,45.127401350256804,1.10_SNL_18650_LFP_25C_20-80_0.5-0.5C_a_timeseries.csv
24,SNL,0.55,0.55,0.440940465477693,0.5511271518655033,0.10905953452230704,0.001127151865503273,0.20493670281877693,19.829006276783097,1.10_SNL_18650_LFP_25C_20-80_0.5-0.5C_b_timeseries.csv
25,SNL,0.55,0.55,0.3794460536805141,0.4041137332437233,0.17055394631948595,0.14588626675627675,26.524775773868498,31.009808421724717,1.10_SNL_18650_LFP_25C_20-80_0.5-0.5C_c_timeseries.csv
26,SNL,0.55,0.55,0.4691170563484119,0.3470834916739892,0.08088294365158816,0.20291650832601082,36.893910604729236,14.705989754834208,1.10_SNL_18650_LFP_25C_20-80_0.5-0.5C_d_timeseries.csv
27,SNL,0.55,3.3,0.4807281869891226,3.0191675950629118,0.06927181301087743,0.28083240493708805,8.510072876881457,12.594875092886804,1.10_SNL_18650_LFP_25C_20-80_0.5-3C_a_timeseries.csv
28,SNL,0.55,0.55,0.2179987735225542,0.3526847738070898,0.33200122647744584,0.19731522619291025,35.87549567143822,60.363859359535596,1.10_SNL_18650_LFP_25C_40-60_0.5-0.5C_a_timeseries.csv
29,SNL,0.55,0.55,0.2774044957842442,0.310684638598738,0.27259550421575585,0.23931536140126203,43.511883891138545,49.56281894831924,1.10_SNL_18650_LFP_25C_40-60_0.5-0.5C_b_timeseries.csv
30,SNL,0.55,3.3,0.3887932301027139,2.755595854978885,0.16120676989728616,0.5444041450211148,16.497095303670147,29.31032179950657,1.10_SNL_18650_LFP_25C_40-60_0.5-3C_a_timeseries.csv
31,SNL,0.55,3.3,0.3887746003618888,2.736073893386413,0.16122539963811122,0.5639261066135868,17.08866989738142,29.31370902511113,1.10_SNL_18650_LFP_25C_40-60_0.5-3C_b_timeseries.csv
32,SNL,0.55,1.1,0.4835165450534506,1.0733403644401596,0.06648345494654945,0.026659635559840522,2.423603232712775,12.087900899372626,1.10_SNL_18650_LFP_35C_0-100_0.5-1C_a_timeseries.csv
33,SNL,0.55,1.1,0.4821896879302796,1.0738230739268009,0.06781031206972044,0.026176926073199214,2.3797205521090192,12.32914764904008,1.10_SNL_18650_LFP_35C_0-100_0.5-1C_b_timeseries.csv
34,SNL,0.55,1.1,0.485095464244242,1.0742452541814234,0.06490453575575805,0.02575474581857673,2.341340528961521,11.8008246828651,1.10_SNL_18650_LFP_35C_0-100_0.5-1C_c_timeseries.csv
35,SNL,0.55,1.1,0.4876790373478404,1.0750458232831042,0.06232096265215964,0.024954176716895926,2.2685615197178115,11.331084118574479,1.10_SNL_18650_LFP_35C_0-100_0.5-1C_d_timeseries.csv
36,SNL,0.55,2.2,0.4884883836916459,2.054225002798868,0.06151161630835417,0.14577499720113218,6.626136236415099,11.183930237882574,1.10_SNL_18650_LFP_35C_0-100_0.5-2C_a_timeseries.csv
37,SNL,0.55,2.2,0.4843124519172395,2.05537927023569,0.06568754808276056,0.14462072976431006,6.5736695347413665,11.94319056050192,1.10_SNL_18650_LFP_35C_0-100_0.5-2C_b_timeseries.csv
38,Calce,0.68,0.68,0.4022362526229233,0.5918115604662869,0.27776374737707676,0.08818843953371314,12.96888816672252,40.847609908393636,1.35_CALCE_CX2-16_prism_LCO_25C_0-100_0.5-0.5C_a_timeseries.csv
39,Calce,0.68,0.68,0.4293567664907255,0.6728882120149555,0.25064323350927453,0.0071117879850445265,1.0458511742712537,36.85929904548155,1.35_CALCE_CX2-25_prism_LCO_25C_0-100_0.5-0.5C_b_timeseries.csv
40,Calce,0.68,0.68,0.4101964942980641,0.672870890982419,0.26980350570193595,0.0071291090175810146,1.0483983849383844,39.67698613263764,1.35_CALCE_CX2-33_prism_LCO_25C_0-100_0.5-0.5C_d_timeseries.csv
41,Calce,0.68,0.68,0.4235521478078385,1.349325299750943,0.25644785219216154,0.669325299750943,98.43019113984455,37.712919440023754,1.35_CALCE_CX2-34_prism_LCO_25C_0-100_0.5-0.5C_e_timeseries.csv
42,Calce,0.68,0.68,0.4073247194551574,1.349008489945505,0.27267528054484264,0.669008489945505,98.38360146257426,40.099305962476855,1.35_CALCE_CX2-36_prism_LCO_25C_0-100_0.5-0.5C_f_timeseries.csv
43,Calce,0.68,0.68,0.4487229022350614,1.3498415801590518,0.23127709776493866,0.6698415801590517,98.5061147292723,34.011337906608624,1.35_CALCE_CX2-37_prism_LCO_25C_0-100_0.5-0.5C_g_timeseries.csv
44,Calce,0.68,0.68,0.3993553249412252,1.3486242979032728,0.28064467505877483,0.6686242979032727,98.32710263283421,41.27127574393747,1.35_CALCE_CX2-38_prism_LCO_25C_0-100_0.5-0.5C_h_timeseries.csv
45,Michigan Expansion,2.36,2.36,0.8679305209320088,1.804585399801669,1.492069479067991,0.5554146001983309,23.534516957556395,63.22328301135555,2.36_MICH_BLForm10_pouch_NMC_25C_0-100_1-1C_j_timeseries_data.csv
46,Michigan Expansion,2.36,2.36,0.8166964933019685,1.7775900677201728,1.5433035066980314,0.5824099322798271,24.678386961009625,65.39421638550981,2.36_MICH_BLForm11_pouch_NMC_25C_0-100_1-1C_a_timeseries_data.csv
47,Michigan Expansion,2.36,2.36,0.7941695856088701,1.7720434187596217,1.56583041439113,0.5879565812403782,24.91341445933806,66.3487463725055,2.36_MICH_BLForm12_pouch_NMC_25C_0-100_1-1C_b_timeseries_data.csv
48,Michigan Expansion,2.36,2.36,0.7890188138571897,1.7698593472692918,1.5709811861428102,0.590140652730708,25.005959861470682,66.56699941283094,2.36_MICH_BLForm13_pouch_NMC_25C_0-100_1-1C_c_timeseries_data.csv
49,Michigan Expansion,2.36,2.36,0.7914030020375913,1.7604996412791811,1.5685969979624086,0.5995003587208187,25.402557572916052,66.46597448993256,2.36_MICH_BLForm14_pouch_NMC_25C_0-100_1-1C_d_timeseries_data.csv
50,Michigan Expansion,2.36,2.36,0.8007958969164262,1.7589979718975035,1.5592041030835737,0.6010020281024964,25.46618763146171,66.06797046964296,2.36_MICH_BLForm15_pouch_NMC_25C_0-100_1-1C_e_timeseries_data.csv
51,Michigan Expansion,2.36,2.36,0.8053313450634216,1.7547433128917596,1.5546686549365782,0.6052566871082403,25.646469792722048,65.87579046341435,2.36_MICH_BLForm16_pouch_NMC_25C_0-100_1-1C_f_timeseries_data.csv
52,Michigan Expansion,2.36,2.36,0.7510146136513486,1.682930978693324,1.6089853863486514,0.6770690213066759,28.689365309604913,68.17734687918015,2.36_MICH_BLForm17_pouch_NMC_25C_0-100_1-1C_g_timeseries_data.csv
53,Michigan Expansion,2.36,2.36,0.7646788419562743,1.7547379815073467,1.5953211580437254,0.6052620184926532,25.64669569884124,67.59835415439514,2.36_MICH_BLForm18_pouch_NMC_25C_0-100_1-1C_h_timeseries_data.csv
54,Michigan Expansion,2.36,2.36,0.8068466547124171,1.767694353971847,1.5531533452875828,0.5923056460281528,25.0976968655997,65.81158242743996,2.36_MICH_BLForm19_pouch_NMC_25C_0-100_1-1C_i_timeseries_data.csv
55,Michigan Expansion,2.36,2.36,0.8276361460982451,1.780062965536859,1.5323638539017548,0.5799370344631409,24.57360315521784,64.93067177549808,2.36_MICH_BLForm1_pouch_NMC_45C_0-100_1-1C_a_timeseries_data.csv
56,Michigan Expansion,2.36,2.36,0.757730833808856,1.74566397702848,1.602269166191144,0.6143360229715198,26.03118741404745,67.89276127928576,2.36_MICH_BLForm20_pouch_NMC_25C_0-100_1-1C_j_timeseries_data.csv
57,Michigan Expansion,2.36,2.36,0.8227057485134327,1.7462909330414882,1.5372942514865673,0.6137090669585117,26.004621481292865,65.13958692739692,2.36_MICH_BLForm2_pouch_NMC_45C_0-100_1-1C_b_timeseries_data.csv
58,Michigan Expansion,2.36,2.36,0.9064925544992728,1.8173042431313104,1.453507445500727,0.5426957568686894,22.995582918164807,61.5892985381664,2.36_MICH_BLForm3_pouch_NMC_45C_0-100_1-1C_c_timeseries_data.csv
59,Michigan Expansion,2.36,2.36,0.8123639174423,1.7403658450265247,1.5476360825577,0.6196341549734752,26.255684532774374,65.57780010837713,2.36_MICH_BLForm4_pouch_NMC_45C_0-100_1-1C_d_timeseries_data.csv
60,Michigan Expansion,2.36,2.36,0.8374039157443761,1.7881816965795172,1.5225960842556239,0.5718183034204827,24.229589127986557,64.5167832311705,2.36_MICH_BLForm5_pouch_NMC_45C_0-100_1-1C_e_timeseries_data.csv
61,Michigan Expansion,2.36,2.36,0.8657381470745548,1.8161914450262155,1.4942618529254452,0.5438085549737843,23.042735380245098,63.316180208705305,2.36_MICH_BLForm6_pouch_NMC_45C_0-100_1-1C_f_timeseries_data.csv
62,Michigan Expansion,2.36,2.36,0.8443881165873869,1.806689899067063,1.515611883412613,0.5533101009329369,23.445343259870207,64.22084251748362,2.36_MICH_BLForm7_pouch_NMC_45C_0-100_1-1C_g_timeseries_data.csv
63,Michigan Expansion,2.36,2.36,0.8500662864590917,1.781270819006262,1.5099337135409083,0.5787291809937378,24.52242292346347,63.98024209919103,2.36_MICH_BLForm8_pouch_NMC_45C_0-100_1-1C_h_timeseries_data.csv
64,Michigan Expansion,2.36,2.36,0.5219690197092923,1.477278048652157,1.8380309802907076,0.8827219513478428,37.40347251473911,77.88266865638592,2.36_MICH_BLForm9_pouch_NMC_45C_0-100_1-1C_i_timeseries_data.csv
65,Michigan Expansion,2.36,2.36,0.8244564352910514,1.7630592929530873,1.5355435647089486,0.5969407070469126,25.29409775622511,65.06540528427749,2.36_MICH_MCForm21_pouch_NMC_25C_0-100_1-1C_a_timeseries_data.csv
66,Michigan Expansion,2.36,2.36,0.7489719754983625,1.702617380750785,1.6110280245016373,0.6573826192492149,27.85519573089894,68.26389934328972,2.36_MICH_MCForm22_pouch_NMC_25C_0-100_1-1C_b_timeseries_data.csv
67,Michigan Expansion,2.36,2.36,0.7744469392723131,1.7349683989042672,1.5855530607276869,0.6250316010957326,26.484389876937826,67.18445172574945,2.36_MICH_MCForm23_pouch_NMC_25C_0-100_1-1C_c_timeseries_data.csv
68,Michigan Expansion,2.36,2.36,0.7934289496769583,1.7494709068305747,1.5665710503230414,0.6105290931694252,25.869876829212934,66.38012925097634,2.36_MICH_MCForm24_pouch_NMC_25C_0-100_1-1C_d_timeseries_data.csv
69,Michigan Expansion,2.36,2.36,0.762669208354069,1.7187166660824102,1.597330791645931,0.6412833339175896,27.17302262362668,67.68350812059029,2.36_MICH_MCForm25_pouch_NMC_25C_0-100_1-1C_e_timeseries_data.csv
70,Michigan Expansion,2.36,2.36,0.775389722138499,1.733434379976508,1.584610277861501,0.6265656200234919,26.549390678961522,67.14450329921615,2.36_MICH_MCForm26_pouch_NMC_25C_0-100_1-1C_f_timeseries_data.csv
71,Michigan Expansion,2.36,2.36,0.7692296843826539,1.742320185591255,1.590770315617346,0.617679814408745,26.172873491895977,67.40552184819263,2.36_MICH_MCForm27_pouch_NMC_25C_0-100_1-1C_g_timeseries_data.csv
72,Michigan Expansion,2.36,2.36,0.7499026029771141,1.6998653292752075,1.6100973970228858,0.6601346707247924,27.971808081559,68.22446597554601,2.36_MICH_MCForm28_pouch_NMC_25C_0-100_1-1C_h_timeseries_data.csv
73,Michigan Expansion,2.36,2.36,0.7363861179855479,1.6826914761348173,1.623613882014452,0.6773085238651826,28.69951372310096,68.79719839044289,2.36_MICH_MCForm29_pouch_NMC_25C_0-100_1-1C_i_timeseries_data.csv
74,Michigan Expansion,2.36,2.36,0.767152986735665,1.7300831950212323,1.5928470132643349,0.6299168049787676,26.691390041473202,67.49351751120062,2.36_MICH_MCForm30_pouch_NMC_25C_0-100_1-1C_j_timeseries_data.csv
75,Michigan Expansion,2.36,2.36,0.8735097346321854,1.8149809750169807,1.4864902653678145,0.5450190249830191,23.09402648233132,62.986875651178586,2.36_MICH_MCForm31_pouch_NMC_45C_0-100_1-1C_a_timeseries_data.csv
76,Michigan Expansion,2.36,2.36,0.8985490835312276,1.8111512977693456,1.4614509164687721,0.5488487022306543,23.25630094197688,61.92588629104967,2.36_MICH_MCForm32_pouch_NMC_45C_0-100_1-1C_b_timeseries_data.csv
77,Michigan Expansion,2.36,2.36,0.8981318922520898,1.810227061813464,1.46186810774791,0.5497729381865359,23.29546348248034,61.94356388762331,2.36_MICH_MCForm33_pouch_NMC_45C_0-100_1-1C_c_timeseries_data.csv
78,Michigan Expansion,2.36,2.36,0.9073364978957604,1.827129782843226,1.4526635021042393,0.5328702171567739,22.57924648969381,61.55353822475591,2.36_MICH_MCForm34_pouch_NMC_45C_0-100_1-1C_d_timeseries_data.csv
79,Michigan Expansion,2.36,2.36,0.91589024529934,1.831146331473032,1.4441097547006598,0.5288536685269678,22.409053751142704,61.19109130087542,2.36_MICH_MCForm35_pouch_NMC_45C_0-100_1-1C_e_timeseries_data.csv
80,Michigan Expansion,2.36,2.36,0.8699190203355576,1.807745283392364,1.4900809796644423,0.5522547166076359,23.40062358506932,63.13902456205265,2.36_MICH_MCForm36_pouch_NMC_45C_0-100_1-1C_f_timeseries_data.csv
81,Michigan Expansion,2.36,2.36,0.8973086020692534,1.816532767992468,1.4626913979307465,0.5434672320075318,23.028272542692026,61.97844906486214,2.36_MICH_MCForm37_pouch_NMC_45C_0-100_1-1C_g_timeseries_data.csv
82,Michigan Expansion,2.36,2.36,0.8608299912360708,1.8093731022989736,1.499170008763929,0.5506268977010262,23.331648207670604,63.52415291372581,2.36_MICH_MCForm38_pouch_NMC_45C_0-100_1-1C_h_timeseries_data.csv
83,Michigan Expansion,2.36,2.36,0.883713507464969,1.8021591430569757,1.476286492535031,0.5578408569430242,23.637324446738315,62.554512395552166,2.36_MICH_MCForm39_pouch_NMC_45C_0-100_1-1C_i_timeseries_data.csv
84,Michigan Expansion,2.36,2.36,0.8922180321082058,1.841112336655745,1.467781967891794,0.518887663344255,21.98676539594301,62.19415118185568,2.36_MICH_MCForm40_pouch_NMC_45C_0-100_1-1C_j_timeseries_data.csv
85,HNEI,1.4,4.2,0.5544646031560054,2.257294192283783,0.8455353968439945,1.9427058077162171,46.25490018371946,60.39538548885675,2.80_HNEI_18650_NMC_LCO_25C_0-100_0.5-1.5C_a_timeseries.csv
86,HNEI,1.4,4.2,0.5437347814654999,2.2686168433137484,0.8562652185345,1.9313831566862518,45.985313254434566,61.16180132389286,2.80_HNEI_18650_NMC_LCO_25C_0-100_0.5-1.5C_b_timeseries.csv
87,HNEI,1.4,4.2,0.5701661710201101,2.359614999671555,0.8298338289798898,1.8403850003284452,43.818690484010595,59.27384492713499,2.80_HNEI_18650_NMC_LCO_25C_0-100_0.5-1.5C_c_timeseries.csv
88,HNEI,1.4,4.2,0.5616472158133685,2.2765995120750984,0.8383527841866314,1.9234004879249018,45.79524971249766,59.88234172761653,2.80_HNEI_18650_NMC_LCO_25C_0-100_0.5-1.5C_d_timeseries.csv
89,HNEI,1.4,4.2,0.5532705125501484,2.2668270883311945,0.8467294874498515,1.9331729116688057,46.0279264683049,60.4806776749894,2.80_HNEI_18650_NMC_LCO_25C_0-100_0.5-1.5C_e_timeseries.csv
90,HNEI,1.4,4.2,0.529039504019856,2.3671803153051143,0.8709604959801439,1.8328196846948859,43.638563921306805,62.211463998581706,2.80_HNEI_18650_NMC_LCO_25C_0-100_0.5-1.5C_f_timeseries.csv
91,HNEI,1.4,4.2,0.5236044487404173,2.236584882674914,0.8763955512595826,1.963415117325086,46.747978983930615,62.599682232827334,2.80_HNEI_18650_NMC_LCO_25C_0-100_0.5-1.5C_g_timeseries.csv
92,HNEI,1.4,4.2,0.5603841578313477,2.2986590616963305,0.8396158421686523,1.9013409383036697,45.27002234056356,59.97256015490373,2.80_HNEI_18650_NMC_LCO_25C_0-100_0.5-1.5C_j_timeseries.csv
93,HNEI,1.4,4.2,0.544024159089225,2.3127175533266557,0.8559758409107749,1.8872824466733444,44.935296349365345,61.14113149362679,2.80_HNEI_18650_NMC_LCO_25C_0-100_0.5-1.5C_l_timeseries.csv
94,HNEI,1.4,4.2,999999.0,999999.0,999997.6,999994.8,23809400.0,71428400.0,2.80_HNEI_18650_NMC_LCO_25C_0-100_0.5-1.5C_m_timeseries.csv
95,HNEI,1.4,4.2,0.5492325455277975,2.3336612040362423,0.8507674544722024,1.8663387959637578,44.43663799913709,60.7691038908716,2.80_HNEI_18650_NMC_LCO_25C_0-100_0.5-1.5C_n_timeseries.csv
96,HNEI,1.4,4.2,0.5573742344914642,2.397293573402057,0.8426257655085357,1.8027064265979433,42.921581585665315,60.18755467918113,2.80_HNEI_18650_NMC_LCO_25C_0-100_0.5-1.5C_o_timeseries.csv
97,HNEI,1.4,4.2,0.559964946139466,2.351051199698556,0.8400350538605339,1.8489488003014443,44.02259048336772,60.002503847180996,2.80_HNEI_18650_NMC_LCO_25C_0-100_0.5-1.5C_p_timeseries.csv
98,HNEI,1.4,4.2,0.5337463667015762,2.2922679644155,0.8662536332984238,1.9077320355845,45.42219132344047,61.87525952131598,2.80_HNEI_18650_NMC_LCO_25C_0-100_0.5-1.5C_s_timeseries.csv
99,HNEI,1.4,4.2,0.5042666839074249,2.122393730530243,0.895733316092575,2.077606269469757,49.46681593975612,63.98095114946965,2.80_HNEI_18650_NMC_LCO_25C_0-100_0.5-1.5C_t_timeseries.csv
100,SNL,1.5,3.0,1.149181005139733,2.9334181114994737,0.3508189948602669,0.06658188850052627,2.219396283350876,23.387932990684458,3.00_SNL_18650_NMC_15C_0-100_0.5-1C_a_timeseries.csv
101,SNL,1.5,3.0,1.1499651358094949,2.9304989800057792,0.3500348641905051,0.06950101999422076,2.3167006664740253,23.33565761270034,3.00_SNL_18650_NMC_15C_0-100_0.5-1C_b_timeseries.csv
102,SNL,1.5,6.0,1.165274572451498,5.486529644541685,0.3347254275485021,0.5134703554583151,8.557839257638584,22.31502850323347,3.00_SNL_18650_NMC_15C_0-100_0.5-2C_a_timeseries.csv
103,SNL,1.5,6.0,1.163419318816965,5.489370373452644,0.33658068118303497,0.510629626547356,8.510493775789268,22.438712078868996,3.00_SNL_18650_NMC_15C_0-100_0.5-2C_b_timeseries.csv
104,SNL,1.5,1.5,1.1742672135112124,1.499760126604556,0.32573278648878756,0.00023987339544406794,0.015991559696271196,21.715519099252504,3.00_SNL_18650_NMC_25C_0-100_0.5-0.5C_a_timeseries.csv
105,SNL,1.5,1.5,1.171563704369482,1.4996657251982146,0.328436295630518,0.0003342748017853836,0.02228498678569224,21.895753042034535,3.00_SNL_18650_NMC_25C_0-100_0.5-0.5C_b_timeseries.csv
106,SNL,1.5,3.0,1.1724661587471097,2.898428322730682,0.3275338412528903,0.10157167726931782,3.385722575643927,21.835589416859357,3.00_SNL_18650_NMC_25C_0-100_0.5-1C_a_timeseries.csv
107,SNL,1.5,3.0,1.15243828203961,2.890153631997096,0.34756171796039004,0.10984636800290382,3.661545600096794,23.170781197359336,3.00_SNL_18650_NMC_25C_0-100_0.5-1C_b_timeseries.csv
108,SNL,1.5,3.0,1.1617418721869457,2.871645530677269,0.3382581278130543,0.1283544693227312,4.278482310757706,22.550541854203622,3.00_SNL_18650_NMC_25C_0-100_0.5-1C_c_timeseries.csv
109,SNL,1.5,3.0,1.166087316494275,2.867048865679682,0.3339126835057249,0.1329511343203178,4.431704477343926,22.260845567048328,3.00_SNL_18650_NMC_25C_0-100_0.5-1C_d_timeseries.csv
110,SNL,1.5,6.0,1.1957271287979,5.274166142414974,0.3042728712020999,0.7258338575850258,12.097230959750432,20.28485808013999,3.00_SNL_18650_NMC_25C_0-100_0.5-2C_a_timeseries.csv
111,SNL,1.5,6.0,1.1705322300351335,5.2736805038875065,0.3294677699648665,0.7263194961124935,12.105324935208223,21.964517997657765,3.00_SNL_18650_NMC_25C_0-100_0.5-2C_b_timeseries.csv
112,SNL,1.5,9.0,1.162476766737114,7.827146694973296,0.3375232332628859,1.1728533050267043,13.031703389185603,22.501548884192392,3.00_SNL_18650_NMC_25C_0-100_0.5-3C_a_timeseries.csv
113,SNL,1.5,9.0,1.151913049104017,7.912735336668303,0.34808695089598296,1.0872646633316974,12.080718481463304,23.205796726398866,3.00_SNL_18650_NMC_25C_0-100_0.5-3C_b_timeseries.csv
114,SNL,1.5,9.0,1.139556475067741,7.516420486188207,0.36044352493225906,1.4835795138117929,16.48421682013103,24.029568328817273,3.00_SNL_18650_NMC_25C_0-100_0.5-3C_c_timeseries.csv
