Institution,Cell ID,Form Factor,Cathode,Temperature (°C),Min SOC (%),Max SOC (%),Charge Rate (C),Discharge Rate (C),Group,Capacity (Ah),Charge Current (A),Discharge Current (A),Mean NCD1%,Std NCD1%,Full Filename
Calce,CX2-16,Prismatic,LCO,25,0,100,0.5,0.5,a,1.35,0.68,0.68,20.353535353535353,138.7240940130951,1.35_CALCE_CX2-16_prism_LCO_25C_0-100_0.5-0.5C_a_timeseries.csv
Calce,CX2-25,Prismatic,LCO,25,0,100,0.5,0.5,b,1.35,0.68,0.68,18.216450216450216,107.18519035111085,1.35_CALCE_CX2-25_prism_LCO_25C_0-100_0.5-0.5C_b_timeseries.csv
Calce,CX2-33,Prismatic,LCO,25,0,100,0.5,0.5,d,1.35,0.68,0.68,17.810283687943265,159.75002954621522,1.35_CALCE_CX2-33_prism_LCO_25C_0-100_0.5-0.5C_d_timeseries.csv
Calce,CX2-34,Prismatic,LCO,25,0,100,0.5,0.5,e,1.35,0.68,0.68,17.488215488215488,80.32324379216895,1.35_CALCE_CX2-34_prism_LCO_25C_0-100_0.5-0.5C_e_timeseries.csv
Calce,CX2-36,Prismatic,LCO,25,0,100,0.5,0.5,f,1.35,0.68,0.68,19.84090909090909,88.19777758348249,1.35_CALCE_CX2-36_prism_LCO_25C_0-100_0.5-0.5C_f_timeseries.csv
Calce,CX2-37,Prismatic,LCO,25,0,100,0.5,0.5,g,1.35,0.68,0.68,12.860028860028862,81.86624469597332,1.35_CALCE_CX2-37_prism_LCO_25C_0-100_0.5-0.5C_g_timeseries.csv
Calce,CX2-38,Prismatic,LCO,25,0,100,0.5,0.5,h,1.35,0.68,0.68,19.733044733044732,64.42715075163298,1.35_CALCE_CX2-38_prism_LCO_25C_0-100_0.5-0.5C_h_timeseries.csv
HNEI,-,18650,NMC-LCO,25,0,100,0.5,1.5,a,2.80,1.4,4.2,11.232323232323232,111.19432696476939,2.80_HNEI_18650_NMC_LCO_25C_0-100_0.5-1.5C_a_timeseries.csv
HNEI,-,18650,NMC-LCO,25,0,100,0.5,1.5,b,2.80,1.4,4.2,11.181818181818182,110.69435247302135,2.80_HNEI_18650_NMC_LCO_25C_0-100_0.5-1.5C_b_timeseries.csv
HNEI,-,18650,NMC-LCO,25,0,100,0.5,1.5,c,2.80,1.4,4.2,11.181818181818182,110.69435247302135,2.80_HNEI_18650_NMC_LCO_25C_0-100_0.5-1.5C_c_timeseries.csv
HNEI,-,18650,NMC-LCO,25,0,100,0.5,1.5,d,2.80,1.4,4.2,11.181818181818182,110.69435247302135,2.80_HNEI_18650_NMC_LCO_25C_0-100_0.5-1.5C_d_timeseries.csv
HNEI,-,18650,NMC-LCO,25,0,100,0.5,1.5,e,2.80,1.4,4.2,11.444444444444445,113.2942198301113,2.80_HNEI_18650_NMC_LCO_25C_0-100_0.5-1.5C_e_timeseries.csv
HNEI,-,18650,NMC-LCO,25,0,100,0.5,1.5,f,2.80,1.4,4.2,11.131313131313131,110.19437798127325,2.80_HNEI_18650_NMC_LCO_25C_0-100_0.5-1.5C_f_timeseries.csv
HNEI,-,18650,NMC-LCO,25,0,100,0.5,1.5,g,2.80,1.4,4.2,11.181818181818182,110.69435247302135,2.80_HNEI_18650_NMC_LCO_25C_0-100_0.5-1.5C_g_timeseries.csv
HNEI,-,18650,NMC-LCO,25,0,100,0.5,1.5,j,2.80,1.4,4.2,11.151515151515152,110.39436777797249,2.80_HNEI_18650_NMC_LCO_25C_0-100_0.5-1.5C_j_timeseries.csv
HNEI,-,18650,NMC-LCO,25,0,100,0.5,1.5,l,2.80,1.4,4.2,11.181818181818182,110.69435247302135,2.80_HNEI_18650_NMC_LCO_25C_0-100_0.5-1.5C_l_timeseries.csv
HNEI,-,18650,NMC-LCO,25,0,100,0.5,1.5,m,2.80,1.4,4.2,,,2.80_HNEI_18650_NMC_LCO_25C_0-100_0.5-1.5C_m_timeseries.csv
HNEI,-,18650,NMC-LCO,25,0,100,0.5,1.5,n,2.80,1.4,4.2,11.181818181818182,110.69435247302135,2.80_HNEI_18650_NMC_LCO_25C_0-100_0.5-1.5C_n_timeseries.csv
HNEI,-,18650,NMC-LCO,25,0,100,0.5,1.5,o,2.80,1.4,4.2,11.181818181818182,110.69435247302135,2.80_HNEI_18650_NMC_LCO_25C_0-100_0.5-1.5C_o_timeseries.csv
HNEI,-,18650,NMC-LCO,25,0,100,0.5,1.5,p,2.80,1.4,4.2,11.181818181818182,110.69435247302135,2.80_HNEI_18650_NMC_LCO_25C_0-100_0.5-1.5C_p_timeseries.csv
HNEI,-,18650,NMC-LCO,25,0,100,0.5,1.5,s,2.80,1.4,4.2,11.242424242424242,111.29432186311902,2.80_HNEI_18650_NMC_LCO_25C_0-100_0.5-1.5C_s_timeseries.csv
HNEI,-,18650,NMC-LCO,25,0,100,0.5,1.5,t,2.80,1.4,4.2,11.222222222222221,111.09433206641981,2.80_HNEI_18650_NMC_LCO_25C_0-100_0.5-1.5C_t_timeseries.csv
Michigan Expansion,01R,Pouch,NMC,25,0,100,0.2,0.2,-,5.00,1.0,1.0,3.888888888888889,32.712571919057616,5.00_MICH_01R_pouch_NMC_25C_0-100_0.2-0.2C_timeseries_data.csv
Michigan Expansion,02C,Pouch,NMC,-5,0,100,0.2,0.2,-,5.00,1.0,1.0,3.3920027534199413,10.014660603340289,5.00_MICH_02C_pouch_NMC_-5C_0-100_0.2-0.2C_timeseries_data.csv
Michigan Expansion,03H,Pouch,NMC,45,0,100,0.2,0.2,-,5.00,1.0,1.0,1.0617559523809526,7.068445505022309,5.00_MICH_03H_pouch_NMC_45C_0-100_0.2-0.2C_timeseries_data.csv
Michigan Expansion,04R,Pouch,NMC,25,0,100,1.5,1.5,-,5.00,7.5,7.5,10.021527777777788,5.440185020235458,5.00_MICH_04R_pouch_NMC_25C_0-100_1.5-1.5C_timeseries_data.csv
Michigan Expansion,05C,Pouch,NMC,-5,0,100,1.5,1.5,-,5.00,7.5,7.5,10.460648148148145,8.492503885651399,5.00_MICH_05C_pouch_NMC_-5C_0-100_1.5-1.5C_timeseries_data.csv
Michigan Expansion,06H,Pouch,NMC,45,0,100,1.5,1.5,-,5.00,7.5,7.5,7.896825396825407,2.2473668701627902,5.00_MICH_06H_pouch_NMC_45C_0-100_1.5-1.5C_timeseries_data.csv
Michigan Expansion,07R,Pouch,NMC,25,0,100,2,2,-,5.00,10.0,10.0,6.352027027027032,5.088493075415231,5.00_MICH_07R_pouch_NMC_25C_0-100_2-2C_timeseries_data.csv
Michigan Expansion,08C,Pouch,NMC,-5,0,100,2,2,-,5.00,10.0,10.0,13.265891472868221,9.543943243271933,5.00_MICH_08C_pouch_NMC_-5C_0-100_2-2C_timeseries_data.csv
Michigan Expansion,09H,Pouch,NMC,45,0,100,2,2,-,5.00,10.0,10.0,4.900476190476195,1.7057106187471442,5.00_MICH_09H_pouch_NMC_45C_0-100_2-2C_timeseries_data.csv
Michigan Expansion,10R,Pouch,NMC,25,0,100,0.2,1.5,-,5.00,1.0,7.5,4.866666666666666,11.108131896510988,5.00_MICH_10R_pouch_NMC_25C_0-100_0.2-1.5C_timeseries_data.csv
Michigan Expansion,11C,Pouch,NMC,-5,0,100,0.2,1.5,-,5.00,1.0,7.5,7.446009389671356,59.245552978360564,5.00_MICH_11C_pouch_NMC_-5C_0-100_0.2-1.5C_timeseries_data.csv
Michigan Expansion,12H,Pouch,NMC,45,0,100,0.2,1.5,-,5.00,1.0,7.5,0.053016831083419765,0.41553133168046336,5.00_MICH_12H_pouch_NMC_45C_0-100_0.2-1.5C_timeseries_data.csv
Michigan Expansion,13R,Pouch,NMC,25,50,100,0.2,0.2,-,5.00,1.0,1.0,,,5.00_MICH_13R_pouch_NMC_25C_50-100_0.2-0.2C_timeseries_data.csv
Michigan Expansion,14C,Pouch,NMC,-5,50,100,0.2,0.2,-,5.00,1.0,1.0,0.018308080808080735,0.04431350517786701,5.00_MICH_14C_pouch_NMC_-5C_50-100_0.2-0.2C_timeseries_data.csv
Michigan Expansion,15H,Pouch,NMC,45,50,100,0.2,0.2,-,5.00,1.0,1.0,0.020016012810247712,1.4012091761253638e-14,5.00_MICH_15H_pouch_NMC_45C_50-100_0.2-0.2C_timeseries_data.csv
Michigan Expansion,16R,Pouch,NMC,25,50,100,0.2,1.5,-,5.00,1.0,7.5,,,5.00_MICH_16R_pouch_NMC_25C_50-100_0.2-1.5C_timeseries_data.csv
Michigan Expansion,17C,Pouch,NMC,-5,50,100,0.2,1.5,-,5.00,1.0,7.5,0.0,0.0,5.00_MICH_17C_pouch_NMC_-5C_50-100_0.2-1.5C_timeseries_data.csv
Michigan Expansion,18H,Pouch,NMC,45,50,100,0.2,1.5,-,5.00,1.0,7.5,0.0,0.0,5.00_MICH_18H_pouch_NMC_45C_50-100_0.2-1.5C_timeseries_data.csv
Michigan Expansion,BLForm10,Pouch,NMC,25,0,100,1,1,j,2.36,2.36,2.36,5.192765983185145,26.658690366675742,2.36_MICH_BLForm10_pouch_NMC_25C_0-100_1-1C_j_timeseries_data.csv
Michigan Expansion,BLForm11,Pouch,NMC,25,0,100,1,1,a,2.36,2.36,2.36,3.9879959312349365,14.386106398299424,2.36_MICH_BLForm11_pouch_NMC_25C_0-100_1-1C_a_timeseries_data.csv
Michigan Expansion,BLForm12,Pouch,NMC,25,0,100,1,1,b,2.36,2.36,2.36,4.595107081775883,14.956167150988225,2.36_MICH_BLForm12_pouch_NMC_25C_0-100_1-1C_b_timeseries_data.csv
Michigan Expansion,BLForm13,Pouch,NMC,25,0,100,1,1,c,2.36,2.36,2.36,4.644473022460111,18.34024553647463,2.36_MICH_BLForm13_pouch_NMC_25C_0-100_1-1C_c_timeseries_data.csv
Michigan Expansion,BLForm14,Pouch,NMC,25,0,100,1,1,d,2.36,2.36,2.36,5.07943007308861,15.611624417038298,2.36_MICH_BLForm14_pouch_NMC_25C_0-100_1-1C_d_timeseries_data.csv
Michigan Expansion,BLForm15,Pouch,NMC,25,0,100,1,1,e,2.36,2.36,2.36,4.705289039567605,15.565670691330732,2.36_MICH_BLForm15_pouch_NMC_25C_0-100_1-1C_e_timeseries_data.csv
Michigan Expansion,BLForm16,Pouch,NMC,25,0,100,1,1,f,2.36,2.36,2.36,4.904565630944831,17.84430788920154,2.36_MICH_BLForm16_pouch_NMC_25C_0-100_1-1C_f_timeseries_data.csv
Michigan Expansion,BLForm17,Pouch,NMC,25,0,100,1,1,g,2.36,2.36,2.36,4.914641148325359,15.67517766822195,2.36_MICH_BLForm17_pouch_NMC_25C_0-100_1-1C_g_timeseries_data.csv
Michigan Expansion,BLForm18,Pouch,NMC,25,0,100,1,1,h,2.36,2.36,2.36,4.65544680607504,14.301073738034356,2.36_MICH_BLForm18_pouch_NMC_25C_0-100_1-1C_h_timeseries_data.csv
Michigan Expansion,BLForm19,Pouch,NMC,25,0,100,1,1,i,2.36,2.36,2.36,4.9044388078630305,18.6242597590968,2.36_MICH_BLForm19_pouch_NMC_25C_0-100_1-1C_i_timeseries_data.csv
Michigan Expansion,BLForm1,Pouch,NMC,45,0,100,1,1,a,2.36,2.36,2.36,4.6771126527446745,10.094936391498004,2.36_MICH_BLForm1_pouch_NMC_45C_0-100_1-1C_a_timeseries_data.csv
Michigan Expansion,BLForm20,Pouch,NMC,25,0,100,1,1,j,2.36,2.36,2.36,4.892202989852912,14.214323852602169,2.36_MICH_BLForm20_pouch_NMC_25C_0-100_1-1C_j_timeseries_data.csv
Michigan Expansion,BLForm2,Pouch,NMC,45,0,100,1,1,b,2.36,2.36,2.36,4.687384751773049,9.4803784667194,2.36_MICH_BLForm2_pouch_NMC_45C_0-100_1-1C_b_timeseries_data.csv
Michigan Expansion,BLForm3,Pouch,NMC,45,0,100,1,1,c,2.36,2.36,2.36,5.434363725434859,12.825791747536867,2.36_MICH_BLForm3_pouch_NMC_45C_0-100_1-1C_c_timeseries_data.csv
Michigan Expansion,BLForm4,Pouch,NMC,45,0,100,1,1,d,2.36,2.36,2.36,5.213512369200993,46.939452863994724,2.36_MICH_BLForm4_pouch_NMC_45C_0-100_1-1C_d_timeseries_data.csv
Michigan Expansion,BLForm5,Pouch,NMC,45,0,100,1,1,e,2.36,2.36,2.36,0.8989740057921876,5.718560240316015,2.36_MICH_BLForm5_pouch_NMC_45C_0-100_1-1C_e_timeseries_data.csv
Michigan Expansion,BLForm6,Pouch,NMC,45,0,100,1,1,f,2.36,2.36,2.36,5.045595192430656,10.141188018216836,2.36_MICH_BLForm6_pouch_NMC_45C_0-100_1-1C_f_timeseries_data.csv
Michigan Expansion,BLForm7,Pouch,NMC,45,0,100,1,1,g,2.36,2.36,2.36,4.533479515445752,8.609978742345715,2.36_MICH_BLForm7_pouch_NMC_45C_0-100_1-1C_g_timeseries_data.csv
Michigan Expansion,BLForm8,Pouch,NMC,45,0,100,1,1,h,2.36,2.36,2.36,4.575541256484995,11.499181005897267,2.36_MICH_BLForm8_pouch_NMC_45C_0-100_1-1C_h_timeseries_data.csv
Michigan Expansion,BLForm9,Pouch,NMC,45,0,100,1,1,i,2.36,2.36,2.36,6.526789763524457,24.318524562570627,2.36_MICH_BLForm9_pouch_NMC_45C_0-100_1-1C_i_timeseries_data.csv
Michigan Expansion,MCForm21,Pouch,NMC,25,0,100,1,1,a,2.36,2.36,2.36,5.078641595126519,14.575030990026494,2.36_MICH_MCForm21_pouch_NMC_25C_0-100_1-1C_a_timeseries_data.csv
Michigan Expansion,MCForm22,Pouch,NMC,25,0,100,1,1,b,2.36,2.36,2.36,5.240485606695107,29.79374570130271,2.36_MICH_MCForm22_pouch_NMC_25C_0-100_1-1C_b_timeseries_data.csv
Michigan Expansion,MCForm23,Pouch,NMC,25,0,100,1,1,c,2.36,2.36,2.36,5.967225609756098,37.0487181426825,2.36_MICH_MCForm23_pouch_NMC_25C_0-100_1-1C_c_timeseries_data.csv
